,2,2023-03-19,149,OHL,Oriental Hotels Limited,530.0000,540.0000,523.0000,536.0000,2611,1374129.3000,529.9000,602.6000,413.8000,2023-03-19T14:55:47.045396,536.0000.1,20,526.28,6046.57
0,3,2023-03-19,153,BPCL,Butwal Power Company Limited,320.0,324.0,318.1,319.0,6748,2165510.6,318.0,424.0,288.0,2023-03-19T14:59:57.815552,319.0,92,320.91,10874.92
1,4,2023-03-19,189,PICL,Prudential Insurance Co. Ltd.,402.0,402.0,395.0,399.0,3302,1309272.7,400.68,732.0,328.3,2023-03-19T14:59:53.562948,399.0,39,396.5,4890.08
2,5,2023-03-19,245,CFCL,Central Finance Co. Ltd.,319.0,320.0,311.2,314.5,5095,1596958.7,313.0,462.9,237.0,2023-03-19T14:59:36.862503,314.5,59,313.43,2984.21
3,6,2023-03-19,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,320.1,332.5,319.5,327.0,1733,562596.6,326.0,431.9,223.9,2023-03-19T14:08:49.169281,327.0,18,324.63,3309.82
4,7,2023-03-19,273,ICFC,ICFC Finance Limited,430.0,432.0,420.0,427.0,9319,3961610.1,428.0,665.0,363.0,2023-03-19T14:59:57.476571,427.0,97,425.11,5053.42
